,Language,Meaning,Phonological Form,cc,ASJP
11,Greek,few,ˈliʝi,few:I,liSi
63,Bulgarian,few,ˈmaɫku,few:H,maLku
65,Russian,few,'maɫɔ,few:H,maLo
66,Polish,few,ˈmawɔ,few:H,mawo
68,Ukrainian,few,ˈmaɫɔ,few:H,maLo
70,Czech,few,ˈmaːlɔ,few:H,malo
79,Icelandic,few,ˈfauːɪr,few:F,fauir
84,Swedish,few,foː,few:F,fo
89,Danish,few,fɔˀ,few:F,fo
93,English,few,fju:,few:F,fyu
95,Dutch,few,'wɛinəχ,few:B,wEin3G
104,German,few,'ve:nɪç,few:B,veniS
110,Catalan,few,pɔk,few:F,pok
112,Portuguese,few,ˈpo(ou)ku,few:F,poouku
113,Spanish,few,'poko,few:F,poko
119,French,few,pø,few:F,pe
126,Italian,few,'pɔko,few:F,poko
134,Breton,few,ˈneːbøt,few:M,nebet
12,Greek,rub,ˈtrivo̞,rub:H,trivo
58,Bulgarian,rub,ˈtrijə,rub:H,triy3
60,Russian,rub,'tʲɛrʲɛtʲ,rub:H,tErEt
61,Polish,rub,ˈt-ʂɛtɕ,rub:H,tSEtS
63,Ukrainian,rub,ˈtɛrtɪ,rub:H,tErti
65,Czech,rub,tr̝̊iːt,rub:H,trit
73,Icelandic,rub,ˈnʏɡ̊ːa,rub:J,niga
74,Icelandic,rub,ˈnuːa,rub:J,nua
82,Swedish,rub,ˈgnɵ̀gːa,rub:J,gn3ga
83,Swedish,rub,ˈgnì:da,rub:J,gnida
87,Danish,rub,ˈg̥ni:ðə,rub:J,gni83
92,English,rub,rʌb,rub:P,rob
94,Dutch,rub,'vrɛivə(n),rub:B,vrEiv3n
102,German,rub,'raĭbn̩,rub:B,raibn
108,Catalan,rub,frə'ɣa,rub:F,fr3xa
109,Portuguese,rub,ɨʃfɾɨˈɡaɾ,rub:F,3Sfr3gar
110,Spanish,rub,fɾo'taɾ,rub:F,frotar
116,French,rub,fʀɔte,rub:F,frote
122,Italian,rub,fre'gare,rub:F,fregare
123,Romanian,rub,a freˈka,rub:F,afreka
132,Breton,rub,ˈfrɔtã,rub:F/R,frota
8,Greek,dull,ˌsto̞mo̞ˈme̞no̞s,dull:W,stomomenos
9,Greek,dull,ðen ˈko̞vi,dull:K,8enkovi
42,Bulgarian,dull,tɤp,dull:G,top
44,Russian,dull,tu'pɔj,dull:G,tupoy
45,Polish,dull,ˈtɛmpɘ̟,dull:G,tEmp3
47,Ukrainian,dull,tuˈpɪj,dull:G,tupiy
49,Czech,dull,ˈtupiː,dull:G,tupi
59,Icelandic,dull,stljouːr,dull:A,stlyour
60,Icelandic,dull,ˈb̥ɪːtʰˌløɪːs,dull:Ae,bitleis
66,Swedish,dull,ˈtrɵ̀bːɪ(ɡ),dull:Ad,tr3big
67,Swedish,dull,sløː,dull:A,sle
68,Swedish,dull,ˈùːˌvasː,dull:I,uvas
74,Danish,dull,slø̞wˀ,dull:A,slew
79,English,dull,dʌl,dull:F,dol
81,Dutch,dull,bɔt,dull:Af,bot
82,Dutch,dull,stɔmp,dull:G,stomp
88,German,dull,ʃtʊmp͜f,dull:G,Stumpf
102,Spanish,dull,embo'taðo,dull:E,embota8o
108,French,dull,emuse,dull:H,emuse
116,Italian,dull,ot'tuzo,dull:S,ottuzo
127,Breton,dull,ˈdalː,dull:F,dal
9,Greek,hunt,ˌciniˈɣo̞,hunt:J,Tinixo
47,Bulgarian,hunt,ɫuˈvuvəm,hunt:F,Luvuv3m
49,Russian,hunt,a'xɔtʲitʲsʲa,hunt:M,axotitsa
50,Polish,hunt,pɔˈlɔvatɕ,hunt:X,polovatS
52,Ukrainian,hunt,pɔlʲuˈvatɪ,hunt:X,poluvati
54,Czech,hunt,ˈlɔvɪt,hunt:F,lovit
60,Lithuanian,hunt,mʲɛˈdʲʒʲotʲɪ,hunt:L,mEdZoti
63,Icelandic,hunt,ˈveiːða,hunt:I,vei8a
71,Swedish,hunt,ˈjɑ̀ːɡa,hunt:B,yoga
75,Danish,hunt,ˈjæ:jə,hunt:B,yEy3
