,Language,Meaning,Phonological Form,cc,ASJP
12,Greek,wind,aˈʝe̞ras,wind:J,aSeras
66,Bulgarian,wind,ˈvʲatər,wind:B,vat3r
68,Russian,wind,'vʲɛtʲɛr,wind:B,vEtEr
69,Polish,wind,vjatr,wind:B,vyatr
71,Ukrainian,wind,ˈʋitɛr,wind:B,witEr
73,Czech,wind,ˈviːtr̩,wind:B,vitr
79,Lithuanian,wind,ˈʋʲe:jɛs,wind:B,weyEs
81,Icelandic,wind,ˈvɪnd̥ʏr,wind:B,vindir
86,Swedish,wind,'blo:sa,wind:I,blosa
87,Swedish,wind,vɪnd,wind:B,vind
91,Danish,wind,venˀ,wind:B,ven
96,English,wind,wɪnd,wind:B,wind
98,Dutch,wind,wɪnt,wind:B,wint
103,German,wind,vɪnt,wind:B,vint
110,Catalan,wind,ben,wind:B,ben
111,Catalan,wind,'aijrə,wind:J,aiyr3
112,Portuguese,wind,ˈvẽtu,wind:B,vetu
113,Spanish,wind,'bjento,wind:B,byento
119,French,wind,vɑ̃,wind:B,vo
128,Italian,wind,'vɛnto,wind:B,vEnto
135,Breton,wind,ˈaːvɛɭ,wind:B,avEL
12,Greek,lake,'limni,lake:J,limni
62,Bulgarian,lake,ˈɛzɘru,lake:F,Ez3ru
64,Russian,lake,'ɔzʲɛrɔ,lake:F,ozEro
65,Polish,lake,jɛˈʑɔrɔ,lake:F,yEZoro
67,Ukrainian,lake,ˈɔzɛrɔ,lake:F,ozEro
69,Czech,lake,ˈjɛzɛrɔ,lake:F,yEzEro
75,Lithuanian,lake,ʊpʲe:,lake:L,upe
76,Lithuanian,lake,ˈæ:ʒʲɛɾɐs,lake:F,EZEras
78,Icelandic,lake,vaʰtn,lake:H,vatn
85,Swedish,lake,ɧøː,lake:G,Se
89,Danish,lake,søˀ,lake:G,se
93,English,lake,leɪk,lake:E,leik
94,Dutch,lake,mer,lake:B,mer
99,German,lake,ze:,lake:G,ze
106,Catalan,lake,ʎak,lake:E,lak
108,Portuguese,lake,'lagu,lake:E,lagu
109,Spanish,lake,'laɣo,lake:E,laxo
115,French,lake,lak,lake:E,lak
121,Italian,lake,'lago,lake:E,lago
127,Breton,lake,ˈlɛnː,lake:Z,lEn
130,Irish,lake,l̪ˠɔx,lake:E,lox
131,Irish,lake,"lʲiːnʲ, lʲɪnʲ",lake:Z,linlin
15,Greek,head,ce̞ˈfali,head:G,Tefali
50,Bengali,head,mat̪ʰa,head:K,mata
70,Bulgarian,head,ɡɫəˈva,head:F,gL3va
72,Russian,head,gɔɫɔ'va,head:F,goLova
73,Polish,head,ˈɡwɔva,head:F,gwova
75,Ukrainian,head,ɦɔɫɔˈʋa,head:F,hoLowa
77,Czech,head,ˈɦlava,head:F,hlava
85,Icelandic,head,ˈhœːfʏð,head:B,hEfi8
91,Swedish,head,"ˈhʉ̀:vɵd, ˈhʉ̀ːvə",head:B,h3v3dh3v3
96,Danish,head,ho:əð,head:B,ho38
102,English,head,hɛd,head:B,hEd
105,Dutch,head,hoft,head:B,hoft
110,German,head,kɔp͜f,head:O,kopf
116,Catalan,head,kap,head:B,kap
117,Portuguese,head,kɐˈβesɐ,head:B,kabesa
118,Spanish,head,ka'βeθa,head:B,kabe8a
124,French,head,tɛt,head:D,tEt
135,Italian,head,'tɛsta,head:D,tEsta
136,Romanian,head,kap,head:B,kap
143,Breton,head,ˈpɛnː,head:E,pEn
145,Irish,head,"caːn̪ˠ, can̪ˠ",head:E,TanTan
